phenotype,taxonomy rank level,NCBI taxon id,scientific name,super kingdom,Nr. runs in which the species/genus can be found,mean relative abundance,median relative abundance,SD of relative abundance
D009765,species,1689,Bifidobacterium dentium,Bacteria,28,0.016931071,0.01241,0.01562028
D009765,species,1735,Holdemanella biformis,Bacteria,448,1.274529129,0.76741,2.146145121
D009765,species,1736,Eubacterium limosum,Bacteria,17,0.015549412,0.0087,0.017991717
D009765,species,1744,Propionibacterium freudenreichii,Bacteria,6,0.054928333,0.066275,0.030739478
D009765,species,1750,Propionibacterium propionicum,Bacteria,2,0.00271,0.00271,0.001173797
D009765,species,2039,Tropheryma whipplei,Bacteria,2,0.002255,0.002255,0.000586899
D009765,species,2047,Rothia dentocariosa,Bacteria,2,0.00086,0.00086,0.000141421
D009765,species,2173,Methanobrevibacter smithii,Archaea,227,0.904944053,0.32795,1.342246334
D009765,species,2317,Methanosphaera stadtmanae,Archaea,36,0.125256667,0.0506,0.167573554
D009765,species,2702,Gardnerella vaginalis,Bacteria,11,0.032502727,0.01008,0.071324392
D009765,species,2751,Carnobacterium maltaromaticum,Bacteria,1,0.01304,0.01304,
D009765,species,28025,Bifidobacterium animalis,Bacteria,39,0.184316667,0.09443,0.232670572
D009765,species,28026,Bifidobacterium pseudocatenulatum,Bacteria,187,0.634273476,0.23362,1.457280343
D009765,species,28037,Streptococcus mitis,Bacteria,10,0.003691,0.001995,0.005297227
D009765,species,28038,Lactobacillus curvatus,Bacteria,6,0.051008333,0.023655,0.064341166
D009765,species,28090,Acinetobacter lwoffii,Bacteria,1,1.90173,1.90173,
D009765,species,28111,Bacteroides eggerthii,Bacteria,259,1.499298263,0.42363,4.147830242
D009765,species,28116,Bacteroides ovatus,Bacteria,565,1.111736584,0.27778,2.134225695
D009765,species,28117,Alistipes putredinis,Bacteria,645,2.593498078,1.64543,2.974421735
D009765,species,28118,Odoribacter splanchnicus,Bacteria,228,0.746760439,0.61822,0.555732125
D009765,species,28121,Butyrivibrio sp.,Bacteria,2,0.013555,0.013555,0.011886465
D009765,species,28123,Porphyromonas asaccharolytica,Bacteria,16,0.00822875,0.003675,0.010052942
D009765,species,28125,Prevotella bivia,Bacteria,27,0.006867037,0.00385,0.008688468
D009765,species,28126,Prevotella buccae,Bacteria,5,0.004204,0.00279,0.004330379
D009765,species,28127,Prevotella buccalis,Bacteria,10,0.009217,0.00542,0.011306856
D009765,species,28130,Prevotella disiens,Bacteria,8,0.01104875,0.0033,0.020646255
D009765,species,28131,Prevotella intermedia,Bacteria,1,0.00137,0.00137,
D009765,species,28141,Cronobacter sakazakii,Bacteria,5,0.45714,0.00693,0.980504936
D009765,species,28197,Arcobacter butzleri,Bacteria,1,0.00153,0.00153,
D009765,species,28901,Salmonella enterica,Bacteria,1,0.00092,0.00092,
D009765,species,29347,[Clostridium] scindens,Bacteria,45,0.008817778,0.00184,0.012133001
D009765,species,29348,[Clostridium] spiroforme,Bacteria,4,0.4085025,0.262515,0.383509905
D009765,species,29361,Tyzzerella nexilis,Bacteria,85,1.230776706,0.07508,3.017111914
D009765,species,29391,Gemella morbillorum,Bacteria,12,0.008578333,0.006485,0.007269169
D009765,species,29466,Veillonella parvula,Bacteria,225,0.102370311,0.02997,0.232658305
D009765,species,31971,[Eubacterium] dolichum,Bacteria,49,0.082643265,0.02187,0.171802842
D009765,species,31973,Eggerthia catenaformis,Bacteria,2,0.0019,0.0019,0.001612203
D009765,species,33031,Peptoniphilus lacrimalis,Bacteria,8,0.01208,0.01027,0.007142245
D009765,species,33033,Parvimonas micra,Bacteria,10,0.125066,0.020465,0.254137106
D009765,species,33035,Blautia producta,Bacteria,14,0.011784286,0.007445,0.011512694
D009765,species,33037,Anaerococcus vaginalis,Bacteria,8,0.00809875,0.006325,0.008340592
D009765,species,33038,[Ruminococcus] gnavus,Bacteria,251,0.905980717,0.10097,2.145242967
D009765,species,33039,[Ruminococcus] torques,Bacteria,747,1.768379505,1.12235,1.948738286
D009765,species,33043,Coprococcus eutactus,Bacteria,77,1.27107961,0.74928,2.384491708
D009765,species,33959,Lactobacillus johnsonii,Bacteria,2,0.07198,0.07198,0.086733718
D009765,species,33964,Leuconostoc citreum,Bacteria,5,0.007704,0.00249,0.009252253
D009765,species,33968,Leuconostoc pseudomesenteroides,Bacteria,7,0.008354286,0.00399,0.010904644
D009765,species,34028,Comamonas sp.,Bacteria,1,0.00418,0.00418,
D009765,species,35517,[Eubacterium] brachy,Bacteria,11,0.003050909,0.00177,0.002616553
D009765,species,35833,Bilophila wadsworthia,Bacteria,212,0.051385472,0.02676,0.072266903
D009765,species,36773,Burkholderia sp.,Bacteria,2,0.0179,0.0179,0.006788225
D009765,species,36834,Clostridium celatum,Bacteria,10,0.050219,0.02235,0.06350143
D009765,species,36841,Terrisporobacter glycolicus,Bacteria,1,0.00058,0.00058,
D009765,species,37734,Enterococcus casseliflavus,Bacteria,3,0.277896667,0.20769,0.312815688
D009765,species,39483,Faecalitalea cylindroides,Bacteria,60,0.217453667,0.09218,0.341073736
D009765,species,39485,[Eubacterium] eligens,Bacteria,541,1.859556063,0.63374,2.711344929
D009765,species,39486,Dorea formicigenerans,Bacteria,714,0.593566275,0.398515,0.565216806
D009765,species,39488,[Eubacterium] hallii,Bacteria,731,1.158374952,0.54646,2.100591337
D009765,species,39490,Eubacterium ramulus,Bacteria,556,0.400352338,0.15328,0.630853814
D009765,species,39491,[Eubacterium] rectale,Bacteria,781,9.962007823,6.36019,10.41784118
D009765,species,39492,[Eubacterium] siraeum,Bacteria,380,1.312053763,0.48244,2.304087166
D009765,species,39496,Eubacterium ventriosum,Bacteria,462,0.480781926,0.206305,0.900235565
D009765,species,39777,Veillonella atypica,Bacteria,135,0.041557407,0.01885,0.064849696
D009765,species,39778,Veillonella dispar,Bacteria,100,0.0249694,0.00933,0.044536506
D009765,species,40518,Ruminococcus bromii,Bacteria,661,4.642142648,3.05796,5.717832127
D009765,species,40519,Ruminococcus callidus,Bacteria,156,0.172583782,0.08289,0.249150887
D009765,species,40520,Blautia obeum,Bacteria,754,0.767424032,0.43668,0.870900467
D009765,species,40545,Sutterella wadsworthensis,Bacteria,272,0.617378015,0.171855,0.914213333
D009765,species,41114,Actinobacillus sp.,Bacteria,6,0.007396667,0.006785,0.00293185
D009765,species,43675,Rothia mucilaginosa,Bacteria,52,0.011258462,0.00423,0.015252482
D009765,species,44008,Enterococcus cecorum,Bacteria,1,0.00173,0.00173,
D009765,species,45634,Streptococcus cristatus,Bacteria,11,0.006488182,0.00485,0.007278261
D009765,species,45851,Butyrivibrio crossotus,Bacteria,161,10.46486335,2.6033,15.25598647
D009765,species,46124,Granulicatella adiacens,Bacteria,39,0.012120769,0.00431,0.022319587
D009765,species,46125,Abiotrophia defectiva,Bacteria,16,0.0035625,0.003245,0.002384865
D009765,species,46228,Ruminococcus lactaris,Bacteria,494,0.778112713,0.48093,0.977766238
D009765,species,46503,Parabacteroides merdae,Bacteria,534,1.332191498,0.7988,1.569171388
D009765,species,46506,Bacteroides stercoris,Bacteria,383,3.952917337,0.6346,7.829265628
D009765,species,47678,Bacteroides caccae,Bacteria,392,1.614008214,0.943285,2.27069336
D009765,species,47715,Lactobacillus rhamnosus,Bacteria,5,0.021318,0.00501,0.036447297
D009765,species,47770,Lactobacillus crispatus,Bacteria,3,0.352133333,0.02414,0.584388077
D009765,species,51123,[Eubacterium] saphenum,Bacteria,5,0.004522,0.00379,0.001679604
D009765,species,52226,Mitsuokella multacida,Bacteria,62,0.341086129,0.101605,0.715187525
D009765,species,53345,Enterococcus durans,Bacteria,3,0.034346667,0.0242,0.0354174
D009765,species,53346,Enterococcus mundtii,Bacteria,1,0.00878,0.00878,
D009765,species,53443,Blautia hydrogenotrophica,Bacteria,27,0.043031852,0.01647,0.060220416
D009765,species,54005,Peptoniphilus harei,Bacteria,6,0.005888333,0.00434,0.005350848
D009765,species,54291,Raoultella ornithinolytica,Bacteria,5,0.008874,0.00393,0.012277171
D009765,species,55565,Actinomyces graevenitzii,Bacteria,31,0.007311935,0.00465,0.007615489
D009765,species,56774,[Eubacterium] infirmum,Bacteria,20,0.003752,0.002355,0.004123771
D009765,species,59310,Streptococcus macedonicus,Bacteria,7,0.0118,0.0021,0.02122108
D009765,species,59505,Actinotignum schaalii,Bacteria,1,0.00017,0.00017,
D009765,species,61171,Holdemania filiformis,Bacteria,242,0.039866736,0.020865,0.055809505
D009765,species,61592,Corynebacterium durum,Bacteria,1,0.00755,0.00755,
D009765,species,66852,Methanobrevibacter sp.,Archaea,2,0.003025,0.003025,0.00159099
D009765,species,68891,Streptococcus peroris,Bacteria,1,0.00146,0.00146,
D009765,species,68892,Streptococcus infantis,Bacteria,52,0.008393269,0.004045,0.010809572
D009765,species,69393,Pantoea sp.,Bacteria,9,0.021561111,0.01737,0.015420224
D009765,species,74426,Collinsella aerofaciens,Bacteria,585,2.907527043,1.6354,3.83839498
D009765,species,76517,Campylobacter hominis,Bacteria,7,0.014195714,0.00517,0.015031869
D009765,species,76860,Streptococcus constellatus,Bacteria,10,0.002935,0.002765,0.001235433
D009765,species,82135,Atopobium vaginae,Bacteria,4,0.04503,0.011995,0.074481453
D009765,species,84026,[Clostridium] methylpentosum,Bacteria,12,0.0060575,0.00411,0.005155456
D009765,species,84112,Eggerthella lenta,Bacteria,79,0.016233291,0.00477,0.044699071
D009765,species,84135,Gemella sanguinis,Bacteria,45,0.014620444,0.00711,0.023880593
D009765,species,88431,Dorea longicatena,Bacteria,752,1.299021742,0.84158,1.277082873
D009765,species,89152,[Clostridium] hiranonis,Bacteria,5,0.347978,0.18891,0.327275437
D009765,species,97478,Lactobacillus mucosae,Bacteria,7,0.123528571,0.10507,0.120675789
D009765,species,100884,Coprobacillus cateniformis,Bacteria,21,0.992818571,0.67043,0.874770421
D009765,species,100886,Catenibacterium mitsuokai,Bacteria,132,1.986122803,1.148895,2.4902627
D009765,species,102148,Solobacterium moorei,Bacteria,56,0.014285,0.00502,0.024904873
D009765,species,102684,Streptococcus infantarius,Bacteria,14,0.038473571,0.019095,0.046653969
D009765,species,102862,Proteus penneri,Bacteria,2,0.01066,0.01066,0.009984348
D009765,species,103892,Veillonella ratti,Bacteria,1,9.37033,9.37033,
D009765,species,104608,Leptotrichia sp.,Bacteria,1,0.00269,0.00269,
D009765,species,105841,Anaerostipes caccae,Bacteria,7,0.05482,0.00741,0.089994129
D009765,species,106588,Pseudoflavonifractor capillosus,Bacteria,117,0.020259145,0.00806,0.048163693
D009765,species,113107,Streptococcus australis,Bacteria,141,0.03801234,0.01689,0.050746065
D009765,species,115778,Leuconostoc gelidum subsp. gasicomitatum,Bacteria,1,0.00178,0.00178,
D009765,species,116085,Coprococcus catus,Bacteria,565,0.304941239,0.17397,0.332517956
D009765,species,118748,Bulleidia extructa,Bacteria,5,0.00176,0.00045,0.002476257
D009765,species,131111,Actinomyces turicensis,Bacteria,20,0.084652,0.011,0.105717994
D009765,species,133926,Olsenella uli,Bacteria,3,0.00137,0.00145,0.000425676
D009765,species,137591,Weissella cibaria,Bacteria,13,0.037076154,0.00791,0.053126444
D009765,species,137732,Granulicatella elegans,Bacteria,3,0.00132,0.00084,0.001064519
D009765,species,147206,Collinsella stercoris,Bacteria,5,0.075172,0.00356,0.145852703
D009765,species,147207,Collinsella intestinalis,Bacteria,68,5.261065441,2.06733,7.443410937
D009765,species,150055,Streptococcus lutetiensis,Bacteria,7,0.10139,0.10046,0.080646836
D009765,species,154046,Hungatella hathewayi,Bacteria,128,0.132098203,0.013855,0.370519739
D009765,species,154288,Turicibacter sanguinis,Bacteria,32,0.073797813,0.004195,0.227400258
D009765,species,156456,Anaeroglobus geminatus,Bacteria,2,0.00617,0.00617,0.005515433
D009765,species,158847,Megamonas hypermegale,Bacteria,62,2.639895323,0.44232,3.977310024
D009765,species,160386,Corynebacterium casei,Bacteria,1,0.00857,0.00857,
D009765,species,165179,Prevotella copri,Bacteria,380,12.66879642,4.338725,16.98620592
D009765,species,166486,Roseburia intestinalis,Bacteria,574,1.704867962,1.21161,2.114139042
D009765,species,168810,Corynebacterium crenatum,Bacteria,1,0.00405,0.00405,
D009765,species,169435,Anaerotruncus colihominis,Bacteria,80,0.04500375,0.00695,0.12186847
D009765,species,174709,Allobaculum stercoricanis,Bacteria,1,0.04591,0.04591,
D009765,species,178214,Facklamia hominis,Bacteria,1,0.0083,0.0083,
D009765,species,181487,Actinomyces cardiffensis,Bacteria,1,0.00024,0.00024,
D009765,species,184870,Varibaculum cambriense,Bacteria,1,0.00038,0.00038,
D009765,species,187326,Megasphaera micronuciformis,Bacteria,10,0.013802,0.00517,0.028489822
D009765,species,187327,Acidaminococcus intestini,Bacteria,97,0.123863608,0.04163,0.175824277
D009765,species,188913,Cetobacterium somerae,Bacteria,3,0.01294,0.00715,0.01103058
D009765,species,197614,Streptococcus pasteurianus,Bacteria,12,0.625691667,0.051965,1.922685009
D009765,species,204516,Bacteroides massiliensis,Bacteria,379,2.431228892,0.71481,4.357846049
D009765,species,208479,[Clostridium] bolteae,Bacteria,233,0.262734936,0.0399,0.843107547
D009765,species,208962,Escherichia albertii,Bacteria,1,0.01124,0.01124,
D009765,species,214851,Subdoligranulum variabile,Bacteria,95,0.004768526,0.00267,0.005763236
D009765,species,214853,Anaerofustis stercorihominis,Bacteria,12,0.006170833,0.00343,0.005881865
D009765,species,214856,Alistipes finegoldii,Bacteria,280,0.284941607,0.06052,0.644341525
D009765,species,216816,Bifidobacterium longum,Bacteria,560,1.468118661,0.7099,2.136600272
D009765,species,218538,Dialister invisus,Bacteria,183,11.09075645,4.96276,14.596803
D009765,species,228604,Prevotella salivae,Bacteria,1,0.00939,0.00939,
D009765,species,230143,Scardovia wiggsiae,Bacteria,16,0.00328625,0.00197,0.003269948
D009765,species,231049,Lactobacillus rossiae,Bacteria,1,0.00361,0.00361,
D009765,species,237576,Oribacterium sinus,Bacteria,15,0.004420667,0.00214,0.006810551
D009765,species,239935,Akkermansia muciniphila,Bacteria,391,3.454418184,0.87408,7.358245284
D009765,species,244366,Klebsiella variicola,Bacteria,1,0.00445,0.00445,
D009765,species,246787,Bacteroides cellulosilyticus,Bacteria,372,1.677780296,0.33699,3.950639898
D009765,species,248039,Mucispirillum schaedleri,Bacteria,1,0.05206,0.05206,
D009765,species,249188,Haemophilus pittmaniae,Bacteria,4,0.031035,0.011955,0.043729429
D009765,species,257758,Streptococcus pseudopneumoniae,Bacteria,3,0.00282,0.00269,0.002287772
D009765,species,261299,Intestinibacter bartlettii,Bacteria,301,0.195542226,0.05998,0.401677759
D009765,species,281920,Porphyromonas uenonis,Bacteria,7,0.006727143,0.00286,0.007261441
D009765,species,291644,Bacteroides salyersiae,Bacteria,181,0.752180994,0.18909,1.454470538
D009765,species,291645,Bacteroides nordii,Bacteria,102,0.065813824,0.01237,0.140703538
D009765,species,292800,Flavonifractor plautii,Bacteria,219,0.046553379,0.01723,0.081419972
D009765,species,301301,Roseburia hominis,Bacteria,617,0.739639806,0.27595,1.198365465
D009765,species,309120,Dialister micraerophilus,Bacteria,2,0.00132,0.00132,0.000381838
D009765,species,310297,Bacteroides plebeius,Bacteria,239,2.7444441,0.52495,5.877377277
D009765,species,310298,Bacteroides coprocola,Bacteria,131,5.05107458,2.30309,7.78457537
D009765,species,315405,Streptococcus gallolyticus,Bacteria,2,0.001405,0.001405,0.001180868
D009765,species,322095,Porphyromonas somerae,Bacteria,8,0.02224875,0.00695,0.039897915
D009765,species,328812,Parabacteroides goldsteinii,Bacteria,126,0.29111119,0.03148,0.964888657
D009765,species,328813,Alistipes onderdonkii,Bacteria,412,0.832306238,0.207575,1.608498377
D009765,species,328814,Alistipes shahii,Bacteria,538,0.451904796,0.212495,0.625317435
D009765,species,329854,Bacteroides intestinalis,Bacteria,168,0.861742381,0.092155,1.915434377
D009765,species,333367,[Clostridium] asparagiforme,Bacteria,121,0.033571074,0.00877,0.07291734
D009765,species,338188,Bacteroides finegoldii,Bacteria,297,0.680547475,0.246,1.354364401
D009765,species,341694,Peptostreptococcus stomatis,Bacteria,23,0.018227391,0.00287,0.059980114
D009765,species,357276,Bacteroides dorei,Bacteria,541,3.215745009,0.51665,7.502904875
D009765,species,358743,[Clostridium] citroniae,Bacteria,143,0.019833846,0.01023,0.028050372
D009765,species,360807,Roseburia inulinivorans,Bacteria,709,1.376866403,0.70257,2.025568343
D009765,species,363265,Prevotella stercorea,Bacteria,90,4.050877778,0.97545,8.849770643
D009765,species,371601,Bacteroides xylanisolvens,Bacteria,419,0.384603079,0.0777,0.935818881
D009765,species,376804,Bacteroides barnesiae,Bacteria,7,4.134048571,0.71861,6.417415601
D009765,species,376805,Bacteroides salanitronis,Bacteria,5,1.633248,1.58808,1.260041684
D009765,species,384638,[Bacteroides] pectinophilus,Bacteria,14,2.383527143,0.553455,4.082022734
D009765,species,386414,Prevotella timonensis,Bacteria,6,0.01185,0.006455,0.015590642
D009765,species,387090,Bacteroides coprophilus,Bacteria,66,3.271739242,2.084135,3.483993877
D009765,species,387661,Parabacteroides johnsonii,Bacteria,144,0.280153958,0.040055,1.008295952
D009765,species,410072,Coprococcus comes,Bacteria,721,1.155812386,0.88823,1.058768869
