phenotype,taxonomy rank level,NCBI taxon id,scientific name,super kingdom,Nr. runs in which the species/genus can be found,mean relative abundance,median relative abundance,SD of relative abundance
D065626,species,1303,Streptococcus oralis,Bacteria,34,0.050049007,0.0193847,0.099016975
D065626,species,658088,Lachnospiraceae bacterium 9_1_43BFAA,Bacteria,34,0.040335,0.027335,0.040554861
D065626,species,1755626,Faecalibacterium sp. MC_41,Bacteria,34,4.494813393,3.38501,4.802889537
D065626,species,1309,Streptococcus mutans,Bacteria,33,0.301169622,0.01275,1.541976355
D065626,species,351091,Oscillibacter valericigenes,Bacteria,33,1.120664543,0.282829,2.460688761
D065626,species,1596,Lactobacillus gasseri,Bacteria,32,0.257381008,0.03217,0.755390525
D065626,species,33043,Coprococcus eutactus,Bacteria,32,0.52431369,0.01941295,1.117747252
D065626,species,39484,Eubacterium desmolans,Bacteria,32,0.416568723,0.281921,0.378167483
D065626,species,69825,[Clostridium] indolis,Bacteria,32,2.528859866,2.055155,2.348847788
D065626,species,84030,[Clostridium] saccharolyticum,Bacteria,32,0.024532439,0.0155519,0.044708304
D065626,species,118748,Bulleidia extructa,Bacteria,32,0.010431047,0.004037915,0.02301116
D065626,species,36847,[Clostridium] neopropionicum,Bacteria,31,0.10244586,0.0736103,0.096299257
D065626,species,847,Oxalobacter formigenes,Bacteria,30,0.061815014,0.01176,0.226989307
D065626,species,851,Fusobacterium nucleatum,Bacteria,30,0.02389277,0.00234692,0.086759522
D065626,species,29370,[Clostridium] sphenoides,Bacteria,30,0.072755856,0.0239001,0.098480157
D065626,species,36835,[Clostridium] colinum,Bacteria,30,0.41710779,0.1050979,0.984210256
D065626,species,143393,[Eubacterium] sulci,Bacteria,30,0.007116831,0.001636,0.014342143
D065626,species,358742,[Clostridium] aldenense,Bacteria,30,0.053299587,0.008189305,0.112044733
D065626,species,387090,Bacteroides coprophilus,Bacteria,30,2.00775863,0.0378503,3.488075026
D065626,species,552395,Lachnospiraceae bacterium 4_1_37FAA,Bacteria,30,0.017668667,0.005685,0.036388215
D065626,species,1211813,Candidatus Alistipes marseilloanorexicus AP11,Bacteria,30,0.390244,0.295165,0.337521244
D065626,species,2173,Methanobrevibacter smithii,Archaea,29,1.176930345,0.33251,1.635132421
D065626,species,28125,Prevotella bivia,Bacteria,29,0.03760427,0.0102575,0.064103016
D065626,species,658083,Lachnospiraceae bacterium 6_1_63FAA,Bacteria,29,0.017578621,0.00919,0.018581182
D065626,species,28025,Bifidobacterium animalis,Bacteria,28,0.453529807,0.09257,0.854441725
D065626,species,28446,[Clostridium] propionicum,Bacteria,28,0.062556793,0.0410637,0.076998496
D065626,species,29361,Tyzzerella nexilis,Bacteria,28,0.452523929,0.0984,0.881613185
D065626,species,36745,Clostridium saccharoperbutylacetonicum,Bacteria,28,0.480481013,0.08738285,0.931026787
D065626,species,84026,[Clostridium] methylpentosum,Bacteria,28,0.185538733,0.00415549,0.534471196
D065626,species,100886,Catenibacterium mitsuokai,Bacteria,28,2.689570357,1.00404,4.57628653
D065626,species,1352,Enterococcus faecium,Bacteria,27,0.034208378,0.0053586,0.061868886
D065626,species,1559,Clostridium tertium,Bacteria,27,0.012792215,0.00439644,0.017172151
D065626,species,46125,Abiotrophia defectiva,Bacteria,27,0.013166795,0.00327917,0.024929698
D065626,species,47715,Lactobacillus rhamnosus,Bacteria,27,0.067521079,0.0181,0.142714472
D065626,species,29375,[Clostridium] xylanolyticum,Bacteria,26,0.061241218,0.0277273,0.071983883
D065626,species,52787,Anaerofilum pentosovorans,Bacteria,26,0.008036481,0.00407075,0.012395777
D065626,species,376806,Bacteroides gallinarum,Bacteria,26,0.017953368,0.00261361,0.046658332
D065626,species,457402,Eubacterium sp. 3_1_31,Bacteria,26,0.227104231,0.039635,0.415126533
D065626,species,28130,Prevotella disiens,Bacteria,25,0.032192175,0.00538,0.089680818
D065626,species,154288,Turicibacter sanguinis,Bacteria,25,0.0378508,0.01492,0.065853864
D065626,species,39483,Faecalitalea cylindroides,Bacteria,24,0.321547616,0.028635,0.896543882
D065626,species,137591,Weissella cibaria,Bacteria,24,0.066169042,0.0140461,0.190476402
D065626,species,349096,Pectinatus haikarae,Bacteria,24,2.109061763,0.49704185,3.315892424
D065626,species,626940,Phascolarctobacterium succinatutens,Bacteria,24,3.00925875,2.524635,3.770960519
D065626,species,850,Fusobacterium mortiferum,Bacteria,23,0.932808126,0.0119,2.823482358
D065626,species,861,Fusobacterium ulcerans,Bacteria,23,0.172537974,0.01269,0.427740785
D065626,species,1260,Finegoldia magna,Bacteria,23,0.019854553,0.00687,0.027833265
D065626,species,1689,Bifidobacterium dentium,Bacteria,23,0.335079577,0.0103333,1.013983994
D065626,species,33033,Parvimonas micra,Bacteria,23,0.003474852,0.00128365,0.00589462
D065626,species,35517,[Eubacterium] brachy,Bacteria,23,0.007797397,0.00180226,0.010831803
D065626,species,44749,Sporobacter termitidis,Bacteria,23,0.032771179,0.00870013,0.049292518
D065626,species,102148,Solobacterium moorei,Bacteria,23,0.022857391,0.0048,0.05552853
D065626,species,671267,Bacteroides sartorii,Bacteria,23,0.010772353,0.00219822,0.025988102
D065626,species,1515,Ruminiclostridium thermocellum,Bacteria,22,0.289390646,0.0435294,0.56328411
D065626,species,55565,Actinomyces graevenitzii,Bacteria,22,0.01108,0.006005,0.013728749
D065626,species,147207,Collinsella intestinalis,Bacteria,22,0.462341214,0.21301,0.651144893
D065626,species,309120,Dialister micraerophilus,Bacteria,22,0.140379618,0.01315915,0.18547168
D065626,species,477666,Bacteroides graminisolvens,Bacteria,22,0.003370632,0.00150069,0.005294901
D065626,species,907,Megasphaera elsdenii,Bacteria,21,0.459151554,0.00678,0.892949702
D065626,species,114702,Actinomyces lingnae,Bacteria,21,0.003139914,0.00123138,0.007236749
D065626,species,341225,[Clostridium] saccharogumia,Bacteria,21,0.092428921,0.00162747,0.357920071
D065626,species,901,Desulfovibrio piger,Bacteria,20,0.0918798,0.074185,0.095159722
D065626,species,29354,[Clostridium] celerecrescens,Bacteria,20,0.002725929,0.000817998,0.005679761
D065626,species,437898,Sutterella parvirubra,Bacteria,20,0.448731761,0.1379788,0.638620642
D065626,species,650643,Alistipes sp. RMA 9912,Bacteria,20,0.017462901,0.012732,0.018989578
D065626,species,1507,Clostridium sp. ATCC 29733,Bacteria,19,0.003607013,0.00135192,0.004560203
D065626,species,1584,Lactobacillus delbrueckii,Bacteria,19,0.112932816,0.00580248,0.257639494
D065626,species,2047,Rothia dentocariosa,Bacteria,19,0.008859043,0.00358,0.011904624
D065626,species,28901,Salmonella enterica,Bacteria,19,0.039753664,0.00180226,0.12683297
D065626,species,29369,Clostridium sardiniense,Bacteria,19,0.017331735,0.000770612,0.067508677
D065626,species,39029,Megasphaera cerevisiae,Bacteria,19,0.002803966,0.00197021,0.003237572
D065626,species,100884,Coprobacillus cateniformis,Bacteria,19,0.142738105,0.00844949,0.301668005
D065626,species,574375,Bacillus gaemokensis,Bacteria,19,0.012222805,0.00545435,0.024204827
D065626,species,1599,Lactobacillus sakei,Bacteria,18,0.153716162,0.01617,0.358439703
D065626,species,28127,Prevotella buccalis,Bacteria,18,0.005502632,0.00271404,0.008757062
D065626,species,29317,Actinomyces sp.,Bacteria,18,0.000920809,0.000526466,0.001438236
D065626,species,39950,Dialister pneumosintes,Bacteria,18,0.046618989,0.01247175,0.072832968
D065626,species,97478,Lactobacillus mucosae,Bacteria,18,0.476319413,0.2485625,0.835084101
D065626,species,185008,Butyrivibrio hungatei,Bacteria,18,0.001310663,0.001027635,0.000957767
D065626,species,574930,Parabacteroides gordonii,Bacteria,18,0.004979636,0.000706064,0.008048702
D065626,species,626931,Bacteroides oleiciplenus,Bacteria,18,0.266963731,0.005076965,0.652127076
D065626,species,626934,Slackia piriformis,Bacteria,18,0.12452,0.057655,0.149095004
D065626,species,633701,Prevotella saccharolytica,Bacteria,18,0.481859204,0.000761272,1.325680499
D065626,species,871324,Bacteroides stercorirosoris,Bacteria,18,0.011216189,0.002907515,0.0168427
D065626,species,1118060,Enorma massiliensis phI,Bacteria,18,0.110075,0.083605,0.097519675
D065626,species,839,Prevotella ruminicola,Bacteria,17,0.449739723,0.00468469,1.762523638
D065626,species,1582,Lactobacillus casei,Bacteria,17,0.089985047,0.03126,0.190453349
D065626,species,397865,Barnesiella viscericola,Bacteria,17,0.266771502,0.0548371,0.559884512
D065626,species,626937,Christensenella minuta,Bacteria,17,0.033607291,0.00540677,0.105447021
D065626,species,1161942,Ruminococcus champanellensis,Bacteria,17,0.174130499,0.0163578,0.399727259
D065626,species,860,Fusobacterium periodonticum,Bacteria,16,0.007510817,0.00271332,0.013962685
D065626,species,1245,Leuconostoc mesenteroides,Bacteria,16,0.04181246,0.00663,0.078620689
D065626,species,1613,Lactobacillus fermentum,Bacteria,16,0.071333422,0.023295,0.098152535
D065626,species,137732,Granulicatella elegans,Bacteria,16,0.007122542,0.001029415,0.01136571
D065626,species,536633,Blautia glucerasea,Bacteria,16,0.100805952,0.001055365,0.347541152
D065626,species,665956,Subdoligranulum sp. 4_3_54A2FAA,Bacteria,16,0.604568125,0.4202,0.63135266
D065626,species,1078480,Haemophilus sputorum,Bacteria,16,0.013711644,0.00221819,0.026110831
D065626,species,1624,Lactobacillus salivarius,Bacteria,15,0.670799567,0.01154,2.399887439
D065626,species,1736,Eubacterium limosum,Bacteria,15,0.093981051,0.0109087,0.26034021
D065626,species,46206,Pseudobutyrivibrio ruminis,Bacteria,15,0.001374539,0.000938267,0.000992454
D065626,species,84031,Clostridium sartagoforme,Bacteria,15,0.007426004,0.00270904,0.013201804
D065626,species,158847,Megamonas hypermegale,Bacteria,15,1.285479333,0.26055,2.401421482
D065626,species,197614,Streptococcus pasteurianus,Bacteria,15,0.073833722,0.00426894,0.194281859
D065626,species,626930,Bacteroides fluxus,Bacteria,15,0.042866624,0.00221649,0.132105063
D065626,species,626935,Collinsella tanakaei,Bacteria,15,0.830982422,0.002811,2.988339732
D065626,species,751585,Coprococcus sp. ART55/1,Bacteria,15,3.722829333,2.00128,3.542863724
D065626,species,1077464,Streptococcus tigurinus,Bacteria,15,0.019273333,0.01009,0.022918373
D065626,species,1465754,Alistipes timonensis,Bacteria,15,0.005442201,0.00317947,0.007061482
D065626,species,1532,Blautia coccoides,Bacteria,14,0.002976938,0.000665937,0.005623811
D065626,species,34062,Moraxella osloensis,Bacteria,14,0.00421174,0.001336955,0.008639948
D065626,species,43305,Butyrivibrio proteoclasticus,Bacteria,14,0.001088298,0.001132255,0.000628357
D065626,species,103621,Actinomyces urogenitalis,Bacteria,14,0.00113729,0.000830461,0.000940074
D065626,species,105841,Anaerostipes caccae,Bacteria,14,0.007352882,0.00325,0.011279662
D065626,species,133926,Olsenella uli,Bacteria,14,0.019571723,0.001210079,0.031805311
D065626,species,288965,[Clostridium] clariflavum,Bacteria,14,0.039597543,0.00746673,0.060350555
D065626,species,552396,Erysipelotrichaceae bacterium 5_2_54FAA,Bacteria,14,0.380137857,0.19334,0.495769654
D065626,species,739,Aggregatibacter segnis,Bacteria,13,0.010883197,0.00273082,0.023492864
D065626,species,905,Acidaminococcus fermentans,Bacteria,13,0.15470381,0.016731,0.381010697
D065626,species,1322,Blautia hansenii,Bacteria,13,0.017084615,0.0141,0.0201076
D065626,species,1366,Lactococcus raffinolactis,Bacteria,13,0.017556921,0.00108183,0.023204994
D065626,species,1590,Lactobacillus plantarum,Bacteria,13,0.233102269,0.00412,0.798479556
D065626,species,28123,Porphyromonas asaccharolytica,Bacteria,13,0.010939198,0.00518,0.013228597
D065626,species,29356,Clostridium chartatabidum,Bacteria,13,0.002929738,0.00189338,0.003078299
D065626,species,29360,Cellulosilyticum lentocellum,Bacteria,13,0.002007473,0.000890615,0.0019449
D065626,species,33031,Peptoniphilus lacrimalis,Bacteria,13,0.002193046,0.00123,0.001919259
D065626,species,45851,Butyrivibrio crossotus,Bacteria,13,1.312483331,0.04278,2.629958133
D065626,species,76517,Campylobacter hominis,Bacteria,13,0.01965208,0.00426,0.038240479
D065626,species,185294,Prevotella paludivivens,Bacteria,13,0.188507604,0.0147578,0.450757998
D065626,species,658659,Erysipelotrichaceae bacterium 3_1_53,Bacteria,13,0.024866154,0.0147,0.022313148
D065626,species,550,Enterobacter cloacae,Bacteria,12,0.368940745,0.022475,0.72551516
D065626,species,1496,Clostridioides difficile,Bacteria,12,0.023901576,0.001003206,0.051275079
D065626,species,1623,Lactobacillus ruminis,Bacteria,12,0.223922213,0.01800625,0.630534153
D065626,species,1656,Actinomyces viscosus,Bacteria,12,0.004452404,0.00383,0.004301842
D065626,species,29391,Gemella morbillorum,Bacteria,12,0.0212075,0.009955,0.03021511
D065626,species,102684,Streptococcus infantarius,Bacteria,12,0.075231637,0.00074881,0.256321792
D065626,species,115979,Bacillus nealsonii,Bacteria,12,0.006702992,0.00261486,0.013503105
D065626,species,491921,Megamonas rupellensis,Bacteria,12,0.4723,0.057975,0.985793647
D065626,species,638849,Pyramidobacter piscolens,Bacteria,12,0.022523303,0.00224363,0.062115873
D065626,species,199,Campylobacter concisus,Bacteria,11,0.004348104,0.00101394,0.00832433
D065626,species,571,Klebsiella oxytoca,Bacteria,11,0.226223636,0.05228,0.402098659
D065626,species,1246,Leuconostoc lactis,Bacteria,11,0.114370689,0.00250123,0.347320716
D065626,species,1383,Atopobium rimae,Bacteria,11,0.042772803,0.0017,0.127524395
D065626,species,1632,Lactobacillus oris,Bacteria,11,0.274030755,0.02581,0.769275628
D065626,species,1633,Lactobacillus vaginalis,Bacteria,11,0.429623069,0.03486,0.989004927
D065626,species,2741,Peptococcus niger,Bacteria,11,0.019948309,0.0100386,0.035999057
D065626,species,29363,Clostridium paraputrificum,Bacteria,11,0.009778487,0.00148577,0.021690675
D065626,species,36834,Clostridium celatum,Bacteria,11,0.063082228,0.01517,0.077308097
D065626,species,52226,Mitsuokella multacida,Bacteria,11,0.43362008,0.05737,0.78041425
D065626,species,85338,Rothia sp. CCUG 25688,Bacteria,11,0.000527801,0.000492553,0.000361471
D065626,species,228604,Prevotella salivae,Bacteria,11,0.127311855,0.00166748,0.268253831
D065626,species,230143,Scardovia wiggsiae,Bacteria,11,0.006440909,0.00442,0.00831156
D065626,species,376805,Bacteroides salanitronis,Bacteria,11,0.04241227,0.000819793,0.137269049
D065626,species,649724,Clostridium sp. ATCC BAA-442,Bacteria,11,0.094205263,0.000296872,0.226709744
D065626,species,691816,Bacteroides rodentium,Bacteria,11,0.009450359,0.00210825,0.019359671
D065626,species,871325,Bacteroides faecichinchillae,Bacteria,11,0.000838804,0.000492553,0.000951328
D065626,species,1671366,Ruminococcus sp. DSM 100440,Bacteria,11,0.031939715,0.00433261,0.049295439
D065626,species,1755629,Victivallis sp. MC_44,Bacteria,11,0.011075084,0.00641824,0.011387466
